"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs2013208-<b>T</b>,"3 x 10-13",(EA),NR,'-,'-,'-,"RBM6, RBM5","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,3:50091966
rs1689788-<b>C</b>,"5 x 10-13",(EA),NR,'-,'-,'-,LINC01344,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:182175287
rs7445-<b>T</b>,"1 x 10-12",(EA),NR,'-,'-,'-,UBE2L3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,22:21622758
rs190528931-<b>A</b>,"1 x 10-12",(EA),NR,'-,'-,'-,MACROD1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:64143801
rs28873836-<b>C</b>,"2 x 10-12",(EA),NR,'-,'-,'-,"ZNF577, FPR3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:51811402
rs12753251-<b>A</b>,"2 x 10-12",(EA),NR,'-,'-,'-,"C1orf220, RNA5SP69","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:178560763
rs1047891-<b>A</b>,"4 x 10-12",(EA),NR,'-,'-,'-,CPS1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,2:210675783
rs80080062-<b>G</b>,"6 x 10-12",(EA),NR,'-,'-,'-,ETV5,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,3:186094380
rs56144648-<b>A</b>,"7 x 10-12",(EA),NR,'-,'-,'-,CCND3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:42021004
rs56960668-<b>A</b>,"9 x 10-12",(EA),NR,'-,'-,'-,"GPIHBP1, ZFP41","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:143218568
rs4820323-<b>G</b>,"5 x 10-11",(EA),NR,'-,'-,'-,"PLA2G6, MAFF","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,22:38203760
rs11246533-<b>T</b>,"7 x 10-11",(EA),NR,'-,'-,'-,OR4A6P,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:54742025
rs836546-<b>A</b>,"1 x 10-10",(EA),NR,'-,'-,'-,DAGLB,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:6440037
rs41266779-<b>T</b>,"1 x 10-10",(EA),NR,'-,'-,'-,"H3C1, H4C1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:26021644
rs6907508-<b>G</b>,"2 x 10-10",(EA),NR,'-,'-,'-,ILRUN,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:34624313
rs57457691-<b>C</b>,"5 x 10-10",(EA),NR,'-,'-,'-,PEPD,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:33420799
chr16:53822169-<b>?</b>,"8 x 10-10",(EA),NR,'-,'-,'-,'-,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,"Mapping not available"
rs58084604-<b>T</b>,"1 x 10-9",(EA),NR,'-,'-,'-,RNU4-17P,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,18:60182196
rs28364406-<b>T</b>,"2 x 10-9",(EA),NR,'-,'-,'-,CAPN3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:42387225
rs10955992-<b>C</b>,"5 x 10-9",(EA),NR,'-,'-,'-,SNTB1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:120860224
rs2963472-<b>A</b>,"6 x 10-9",(EA),NR,'-,'-,'-,'-,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,5:158572014
rs4898521-<b>A</b>,"1 x 10-8",(EA),NR,'-,'-,'-,"DNAJC22, SPATS2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:49361379
rs4418728-<b>T</b>,"4 x 10-6",(AA),NR,'-,'-,'-,"CYP26A1, NIP7P1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:93079967
rs174566-<b>G</b>,"5 x 10-6",(AA),NR,'-,'-,'-,"FADS1, FADS2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:61824890
rs2043082-<b>A</b>,"3 x 10-97",(Asian),NR,'-,'-,'-,ALDH1A2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:58382109
rs2575876-<b>A</b>,"2 x 10-74",(Asian),NR,'-,'-,'-,ABCA1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,9:104903458
rs287-<b>G</b>,"3 x 10-69",(Asian),NR,'-,'-,'-,LPL,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:19958045
rs2156552-<b>T</b>,"1 x 10-26",(Asian),NR,'-,'-,'-,"SMUG1P1, ACAA2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,18:49655298
rs57276302-<b>A</b>,"1 x 10-24",(Asian),NR,'-,'-,'-,SCARB1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:124879441
rs255056-<b>C</b>,"3 x 10-23",(Asian),NR,'-,'-,'-,"DPEP2, DPEP3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:67982282
rs9989419-<b>G</b>,"4 x 10-20",(Asian),NR,'-,'-,'-,"HERPUD1, CETP","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:56951227
rs2925979-<b>C</b>,"5 x 10-14",(Asian),NR,'-,'-,'-,CMIP,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:81501185
rs2737216-<b>T</b>,"2 x 10-13",(Asian),NR,'-,'-,'-,TRPS1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:115617852
rs7298909-<b>T</b>,"3 x 10-13",(Asian),NR,'-,'-,'-,SBNO1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:123346392
rs7445-<b>T</b>,"5 x 10-11",(Asian),NR,'-,'-,'-,UBE2L3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,22:21622758
rs1806895-<b>C</b>,"6 x 10-11",(Asian),NR,'-,'-,'-,DGAT2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:75762670
rs4847240-<b>G</b>,"5 x 10-10",(Asian),NR,'-,'-,'-,DR1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:93352389
rs10127775-<b>T</b>,"9 x 10-10",(Asian),NR,'-,'-,'-,GALNT2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:230160042
rs4841132-<b>G</b>,"6 x 10-9",(Asian),NR,'-,'-,'-,"RNU6-1151P, RNU6-526P","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:9326086
rs10769254-<b>C</b>,"2 x 10-8",(Asian),NR,'-,'-,'-,MYBPC3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:47340914
rs6461354-<b>T</b>,"4 x 10-8",(Asian),NR,'-,'-,'-,SNX13,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:17874977
rs235314-<b>T</b>,"8 x 10-8",(Asian),NR,'-,'-,'-,PTTG1IP,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,21:44851537
rs7096937-<b>C</b>,"1 x 10-7",(Asian),NR,'-,'-,'-,GPAM,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:112190660
rs10744826-<b>G</b>,"2 x 10-7",(Asian),NR,'-,'-,'-,UBE3B,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:109527707
rs4660303-<b>A</b>,"3 x 10-7",(Asian),NR,'-,'-,'-,"HEYL, PABPC4","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:39594801
rs6073958-<b>C</b>,"1 x 10-6",(Asian),NR,'-,'-,'-,"PLTP, PCIF1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:45923216
rs1800961-<b>T</b>,"1 x 10-6",(Asian),NR,'-,'-,'-,HNF4A,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:44413724
rs4418728-<b>T</b>,"1 x 10-8",(EA),NR,'-,'-,'-,"CYP26A1, NIP7P1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:93079967
rs3802548-<b>A</b>,"2 x 10-8",(EA),NR,'-,'-,'-,MARCHF8,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:45457297
rs1806895-<b>C</b>,"2 x 10-8",(EA),NR,'-,'-,'-,DGAT2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:75762670
rs235314-<b>T</b>,"2 x 10-8",(EA),NR,'-,'-,'-,PTTG1IP,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,21:44851537
rs56076449-<b>G</b>,"3 x 10-8",(EA),NR,'-,'-,'-,"HSPA4, FSTL4","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,5:133106498
rs76127683-<b>C</b>,"4 x 10-8",(EA),NR,'-,'-,'-,"LACTB, TPM1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:63099163
rs5014650-<b>A</b>,"4 x 10-8",(EA),NR,'-,'-,'-,"PLG, LPA","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:160678471
rs78459082-<b>C</b>,"6 x 10-8",(EA),NR,'-,'-,'-,PDE3A,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:20289851
rs11870935-<b>A</b>,"7 x 10-8",(EA),NR,'-,'-,'-,KPNB1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,17:47655239
rs10713774-<b>?</b>,"1 x 10-7",(EA),NR,'-,'-,'-,"LINC02357, SMIM20","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:26048829
rs60695258-<b>T</b>,"2 x 10-7",(EA),NR,'-,'-,'-,AFF1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:87101557
rs72729610-<b>G</b>,"2 x 10-7",(EA),NR,'-,'-,'-,TRIM2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:153269813
rs4911477-<b>C</b>,"4 x 10-7",(EA),NR,'-,'-,'-,PROCR,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:35193182
rs34311866-<b>C</b>,"6 x 10-7",(EA),NR,'-,'-,'-,TMEM175,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,4:958159
rs4804411-<b>C</b>,"9 x 10-7",(EA),NR,'-,'-,'-,INSR,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:7222366
rs4495740-<b>G</b>,"1 x 10-6",(EA),NR,'-,'-,'-,DOCK7,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:62658794
rs76970536-<b>A</b>,"2 x 10-6",(EA),NR,'-,'-,'-,ST3GAL4,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:126380785
rs7310615-<b>G</b>,"6 x 10-6",(EA),NR,'-,'-,'-,SH2B3,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:111427245
rs255056-<b>C</b>,"2 x 10-16",(AA),NR,'-,'-,'-,"DPEP2, DPEP3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:67982282
rs4841132-<b>G</b>,"2 x 10-12",(AA),NR,'-,'-,'-,"RNU6-1151P, RNU6-526P","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:9326086
rs287-<b>G</b>,"7 x 10-12",(AA),NR,'-,'-,'-,LPL,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:19958045
rs6073958-<b>C</b>,"9 x 10-10",(AA),NR,'-,'-,'-,"PLTP, PCIF1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:45923216
rs2043082-<b>A</b>,"1 x 10-8",(AA),NR,'-,'-,'-,ALDH1A2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:58382109
rs34621310-<b>T</b>,"4 x 10-8",(AA),NR,'-,'-,'-,CDH16,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:66910277
rs4470970-<b>G</b>,"5 x 10-8",(AA),NR,'-,'-,'-,"CD36, SEMA3C","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:80715045
rs465002-<b>T</b>,"1 x 10-6",(Asian),NR,'-,'-,'-,C5orf67,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,5:56512648
rs4418728-<b>T</b>,"4 x 10-6",(Asian),NR,'-,'-,'-,"CYP26A1, NIP7P1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,10:93079967
rs79624003-<b>G</b>,"8 x 10-6",(Asian),NR,'-,'-,'-,MLXIPL,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:73598455
rs2642438-<b>G</b>,"9 x 10-6",(Asian),NR,'-,'-,'-,MTARC1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:220796686
rs9989419-<b>G</b>,"4 x 10-23",(Hispanic),NR,'-,'-,'-,"HERPUD1, CETP","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:56951227
rs4841132-<b>G</b>,"9 x 10-23",(Hispanic),NR,'-,'-,'-,"RNU6-1151P, RNU6-526P","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:9326086
rs1800961-<b>T</b>,"9 x 10-17",(Hispanic),NR,'-,'-,'-,HNF4A,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:44413724
rs287-<b>G</b>,"1 x 10-16",(Hispanic),NR,'-,'-,'-,LPL,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:19958045
rs2043082-<b>A</b>,"6 x 10-14",(Hispanic),NR,'-,'-,'-,ALDH1A2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:58382109
rs255056-<b>C</b>,"1 x 10-10",(Hispanic),NR,'-,'-,'-,"DPEP2, DPEP3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:67982282
rs2575876-<b>A</b>,"3 x 10-7",(Hispanic),NR,'-,'-,'-,ABCA1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,9:104903458
rs174566-<b>G</b>,"2 x 10-6",(Hispanic),NR,'-,'-,'-,"FADS1, FADS2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:61824890
rs9989419-<b>G</b>,"6 x 10-299",,NR,'-,'-,'-,"HERPUD1, CETP","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:56951227
rs287-<b>G</b>,"6 x 10-299",,NR,'-,'-,'-,LPL,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:19958045
rs2043082-<b>A</b>,"3 x 10-294",,NR,'-,'-,'-,ALDH1A2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,15:58382109
rs2575876-<b>A</b>,"9 x 10-154",,NR,'-,'-,'-,ABCA1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,9:104903458
rs2156552-<b>T</b>,"6 x 10-106",,NR,'-,'-,'-,"SMUG1P1, ACAA2","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,18:49655298
rs4841132-<b>G</b>,"8 x 10-106",,NR,'-,'-,'-,"RNU6-1151P, RNU6-526P","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,8:9326086
rs255056-<b>C</b>,"5 x 10-81",,NR,'-,'-,'-,"DPEP2, DPEP3","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,16:67982282
rs1800961-<b>T</b>,"5 x 10-64",,NR,'-,'-,'-,HNF4A,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:44413724
rs10127775-<b>T</b>,"1 x 10-58",,NR,'-,'-,'-,GALNT2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:230160042
rs6073958-<b>C</b>,"8 x 10-56",,NR,'-,'-,'-,"PLTP, PCIF1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,20:45923216
rs367070-<b>G</b>,"4 x 10-55",,NR,'-,'-,'-,"MIR4752, LILRA5","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,19:54296648
rs4470970-<b>G</b>,"6 x 10-51",,NR,'-,'-,'-,"CD36, SEMA3C","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,7:80715045
rs57276302-<b>A</b>,"7 x 10-44",,NR,'-,'-,'-,SCARB1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:124879441
rs11967262-<b>G</b>,"2 x 10-22",,NR,'-,'-,'-,"VEGFA, LINC02537","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,6:43792590
rs1128249-<b>T</b>,"5 x 10-22",,NR,'-,'-,'-,COBLL1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,2:164672114
rs1806895-<b>C</b>,"3 x 10-21",,NR,'-,'-,'-,DGAT2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,11:75762670
rs17451107-<b>C</b>,"9 x 10-20",,NR,'-,'-,'-,"LINC00880, LEKR1","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,3:157079820
rs45490496-<b>T</b>,"3 x 10-19",,NR,'-,'-,'-,"LINC00638, ZBTB42","HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,14:104806341
rs540730-<b>C</b>,"7 x 10-19",,NR,'-,'-,'-,R3HDM2,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,12:57413331
rs1689788-<b>C</b>,"1 x 10-18",,NR,'-,'-,'-,LINC01344,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:182175287
rs114165349-<b>C</b>,"2 x 10-18",,NR,'-,'-,'-,ARID1A,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:26695422
rs2642438-<b>G</b>,"8 x 10-18",,NR,'-,'-,'-,MTARC1,"HDL cholesterol levels x alcohol consumption (regular vs non-regular drinkers) interaction (2df)","alcohol consumption measurement, high density lipoprotein cholesterol measurement",'-,GCST008075,1:220796686
